region;statistic
Белгородская область;814
Брянская область;340
Владимирская область;547
Воронежская область;808
Ивановская область;330
Калужская область;790
Костромская область;333
Курская область;501
Липецкая область;1098
Московская область;1127
Орловская область;411
Рязанская область;719
Смоленская область;455
Тамбовская область;920
Тверская область;506
Тульская область;442
Ярославская область;619
Москва;409
